Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
sapphire-geode-tray,Sapphire Geode Tray,"<p>A one-of-a-kind resin serving tray with a deep ocean-blue geode surface — swirls of sapphire, teal and violet shot through with silver sparkle, framed by a gilded scalloped edge and fitted with attached brushed-silver bar handles.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3760,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/sapphire-geode-tray-1.jpeg,1,Sapphire Geode Tray,draft
sapphire-geode-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sapphire-geode-tray-2.jpeg,2,Sapphire Geode Tray,
sapphire-geode-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sapphire-geode-tray-3.jpeg,3,Sapphire Geode Tray,
sapphire-geode-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sapphire-geode-tray-4.jpeg,4,Sapphire Geode Tray,
sapphire-geode-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sapphire-geode-tray-5.jpeg,5,Sapphire Geode Tray,
bubble-coasters,Bubble Coasters — Set of 4,"<p>A one-of-a-kind set of four resin coasters covered in glossy raised bubbles that catch the light — in shimmering cobalt blue, emerald green and two jewel-toned pinks. A playful, colourful set for any table.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3765,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/bubble-coasters-1.jpeg,1,Bubble Coasters — Set of 4,draft
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-2.jpeg,2,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-3.jpeg,3,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-4.jpeg,4,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-5.jpeg,5,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-6.jpeg,6,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-7.jpeg,7,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-8.jpeg,8,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-9.jpeg,9,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-10.jpeg,10,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-11.jpeg,11,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-12.jpeg,12,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-13.jpeg,13,Bubble Coasters — Set of 4,
bubble-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bubble-coasters-14.jpeg,14,Bubble Coasters — Set of 4,
blue-sea-urchin-coasters,Blue Sea Urchin Coasters — Set of 2,"<p>A one-of-a-kind set of two resin coasters with a bumpy sea-urchin texture in shimmering ocean blues, each centred with a sparkling crystal cluster.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3770,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/blue-sea-urchin-coasters-1.jpeg,1,Blue Sea Urchin Coasters — Set of 2,draft
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-2.jpeg,2,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-3.jpeg,3,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-4.jpeg,4,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-5.jpeg,5,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-6.jpeg,6,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-7.jpeg,7,Blue Sea Urchin Coasters — Set of 2,
blue-sea-urchin-coasters,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-sea-urchin-coasters-8.jpeg,8,Blue Sea Urchin Coasters — Set of 2,
